scan_id,target_id,distractor_ids,utterance,stimulus_id,coarse_reference_type,reference_type,instance_type,anchors_types,anchor_ids,tokens,dataset,mentions_target_class,correct_guess,is_train
scene0592_01,6,"[7, 8, 31, 52, 54]",choose the sofa chair that is far from the doors,scene0592_01-sofa_chair-6-6-7-8-31-52-54,horizontal,farthest,sofa chair,['doors'],[20],"['choose', 'the', 'sofa', 'chair', 'that', 'is', 'far', 'from', 'the', 'doors']",sr3d,True,True,True
scene0673_02,40,[54],choose the bag that is closer to the tv,scene0673_02-bag-2-40-54,horizontal,closest,bag,['tv'],[5],"['choose', 'the', 'bag', 'that', 'is', 'closer', 'to', 'the', 'tv']",sr3d,True,True,True
scene0536_01,20,[19],select the table that is in the center of the stairs and the pillow,scene0536_01-table-2-20-19,between,between,table,"['stairs', 'pillow']","[8, 9]","['select', 'the', 'table', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'stairs', 'and', 'the', 'pillow']",sr3d,True,True,True
scene0181_02,16,"[8, 28, 29]",select the kitchen cabinets that are far from the couch,scene0181_02-kitchen_cabinets-4-16-8-28-29,horizontal,farthest,kitchen cabinets,['couch'],[4],"['select', 'the', 'kitchen', 'cabinets', 'that', 'are', 'far', 'from', 'the', 'couch']",sr3d,True,True,True
scene0352_02,34,[18],the shelf that is near the file cabinet,scene0352_02-shelf-2-34-18,horizontal,closest,shelf,['file cabinet'],[13],"['the', 'shelf', 'that', 'is', 'near', 'the', 'file', 'cabinet']",sr3d,True,True,True
scene0656_00,5,[4],"looking at the front of the nightstand, choose the curtain that is on the left side of it",scene0656_00-curtain-2-5-4,allocentric,left,curtain,['nightstand'],[21],"['looking', 'at', 'the', 'front', 'of', 'the', 'nightstand', 'choose', 'the', 'curtain', 'that', 'is', 'on', 'the', 'left', 'side', 'of', 'it']",sr3d,True,True,True
scene0271_00,1,[19],the cabinet that is farthest from the desk,scene0271_00-cabinet-2-1-19,horizontal,farthest,cabinet,['desk'],[24],"['the', 'cabinet', 'that', 'is', 'farthest', 'from', 'the', 'desk']",sr3d,True,True,True
scene0310_00,2,[25],find the door that is farthest from the microwave,scene0310_00-door-2-2-25,horizontal,farthest,door,['microwave'],[29],"['find', 'the', 'door', 'that', 'is', 'farthest', 'from', 'the', 'microwave']",sr3d,True,True,True
scene0528_01,9,"[7, 8]",select the office chair that is far away from the trash can,scene0528_01-office_chair-3-9-7-8,horizontal,farthest,office chair,['trash can'],[5],"['select', 'the', 'office', 'chair', 'that', 'is', 'far', 'away', 'from', 'the', 'trash', 'can']",sr3d,True,True,True
scene0141_02,19,"[31, 66]",choose the file cabinet that is closer to the radiator,scene0141_02-file_cabinet-3-19-31-66,horizontal,closest,file cabinet,['radiator'],[27],"['choose', 'the', 'file', 'cabinet', 'that', 'is', 'closer', 'to', 'the', 'radiator']",sr3d,True,True,True
scene0101_02,25,[24],choose the stool that is close to the closet,scene0101_02-stool-2-25-24,horizontal,closest,stool,['closet'],[71],"['choose', 'the', 'stool', 'that', 'is', 'close', 'to', 'the', 'closet']",sr3d,True,True,True
scene0340_01,12,[32],select the curtain that is farthest from the desk,scene0340_01-curtain-2-12-32,horizontal,farthest,curtain,['desk'],[23],"['select', 'the', 'curtain', 'that', 'is', 'farthest', 'from', 'the', 'desk']",sr3d,True,True,True
scene0114_01,8,[15],the table that is far from the window,scene0114_01-table-2-8-15,horizontal,farthest,table,['window'],[16],"['the', 'table', 'that', 'is', 'far', 'from', 'the', 'window']",sr3d,True,True,True
scene0505_02,23,"[29, 35, 38, 41]",find the monitor that is far away from the mouse,scene0505_02-monitor-5-23-29-35-38-41,horizontal,farthest,monitor,['mouse'],[43],"['find', 'the', 'monitor', 'that', 'is', 'far', 'away', 'from', 'the', 'mouse']",sr3d,True,True,True
scene0010_00,15,"[24, 40]",select the shelf that is near the keyboard,scene0010_00-shelf-3-15-24-40,horizontal,closest,shelf,['keyboard'],[61],"['select', 'the', 'shelf', 'that', 'is', 'near', 'the', 'keyboard']",sr3d,True,True,True
scene0640_02,16,[15],choose the table that is closer to the kitchen counter,scene0640_02-table-2-16-15,horizontal,closest,table,['kitchen counter'],[26],"['choose', 'the', 'table', 'that', 'is', 'closer', 'to', 'the', 'kitchen', 'counter']",sr3d,True,True,True
scene0383_02,16,"[17, 18]",choose the file cabinet that is far away from the telephone,scene0383_02-file_cabinet-3-16-17-18,horizontal,farthest,file cabinet,['telephone'],[22],"['choose', 'the', 'file', 'cabinet', 'that', 'is', 'far', 'away', 'from', 'the', 'telephone']",sr3d,True,True,True
